iter	RMSE
0	0.1370694917
1	0.1324853735
2	0.127936662
3	0.1236728327
4	0.1196588672
5	0.1157507963
6	0.1119974417
7	0.108433929
8	0.1050272684
9	0.1018247437
10	0.09866944111
11	0.09566001169
12	0.09278619166
13	0.09005646286
14	0.0874736302
15	0.0849701977
16	0.082618202
17	0.08037916278
18	0.07825109215
19	0.07622890464
20	0.07429596728
21	0.07242708199
22	0.0707572371
23	0.06913286542
24	0.06758460038
25	0.06611667194
26	0.06472482936
27	0.06336235122
28	0.0620475626
29	0.06083710735
30	0.05969724298
31	0.05859553906
32	0.05754532015
33	0.05659423401
34	0.05562472217
35	0.05474781817
36	0.05387791221
37	0.05307847227
38	0.05234001281
39	0.05161199214
40	0.05093208997
41	0.0502991338
42	0.04968798096
43	0.04909288074
44	0.04851685741
45	0.04801788681
46	0.04753317049
47	0.04709566277
48	0.04665593222
49	0.04621682639
50	0.0458442044
51	0.04545946281
52	0.04506462333
53	0.04469864817
54	0.04434758114
55	0.04401536325
56	0.04368617455
57	0.04337898928
58	0.04305410086
59	0.04275966519
60	0.04249213482
61	0.04225829065
62	0.04203236982
63	0.04180468136
64	0.0415998139
65	0.04140978672
66	0.04120744927
67	0.04100045921
68	0.04081494984
69	0.04065323217
70	0.04049011108
71	0.04031083175
72	0.04015757676
73	0.04003105957
74	0.03988237583
75	0.03973162705
76	0.03957793337
77	0.0394633315
78	0.03934061559
79	0.03923207799
80	0.03911958022
81	0.0390260624
82	0.03892874899
83	0.03881684774
84	0.0387384378
85	0.03862031402
86	0.0385189221
87	0.03839083962
88	0.03826288917
89	0.03815100333
90	0.03808674335
91	0.03800607837
92	0.03793335405
93	0.037875978
94	0.03781006285
95	0.03768209589
96	0.03756425978
97	0.03745977855
98	0.03740136533
99	0.03732673422
100	0.03725718361
101	0.03714813504
102	0.03702102458
103	0.03691275368
104	0.03684426694
105	0.03676588379
106	0.0367019112
107	0.03661522511
108	0.03656417274
109	0.03650574183
110	0.03645229837
111	0.03637816021
112	0.03633136027
113	0.03626584109
114	0.03622852624
115	0.03616137937
116	0.03612141163
117	0.0360395813
118	0.03598425335
119	0.03592346453
120	0.03589149506
121	0.03583912386
122	0.0357707147
123	0.0357252325
124	0.03570088107
125	0.03566256977
126	0.03559248161
127	0.03556318287
128	0.03552757504
129	0.03548773281
130	0.03544938037
131	0.03542342524
132	0.0353842016
133	0.03532147993
134	0.03526107956
135	0.03523724814
136	0.03518024795
137	0.03515204788
138	0.03512343932
139	0.03508379138
140	0.03506219017
141	0.03502832388
142	0.03500629052
143	0.03496506205
144	0.03491024415
145	0.03488675078
146	0.03487591106
147	0.03485531157
148	0.03482972755
149	0.03480932525
150	0.03477244952
151	0.03472493679
152	0.03470986739
153	0.03467564626
154	0.03464565068
155	0.03462741841
156	0.03460555417
157	0.03457126806
158	0.03453001653
159	0.03449489688
160	0.03447897957
161	0.03441046413
162	0.03439476462
163	0.03436917738
164	0.03435168991
165	0.0343156061
166	0.03430025397
167	0.0342817754
168	0.03426700391
169	0.03423474975
170	0.03422228798
171	0.03417759143
172	0.03415938031
173	0.03413969572
174	0.03412801379
175	0.03408710969
176	0.03407285741
177	0.03406715492
178	0.03404541559
179	0.0340146473
180	0.03400318728
181	0.03396584378
182	0.03392219273
183	0.03389673728
184	0.03388035004
185	0.03386677114
186	0.03385152912
187	0.03380610635
188	0.03377614823
189	0.0337660979
190	0.03372976572
191	0.03371635328
192	0.03370153304
193	0.03368745597
194	0.03365054996
195	0.03360759096
196	0.03357782268
197	0.03354809595
198	0.03353416546
199	0.03351075982
200	0.03349368607
201	0.03347514033
202	0.03345918327
203	0.03343982021
204	0.03341512493
205	0.03337253869
206	0.03334976234
207	0.03332955005
208	0.0333074858
209	0.03327715788
210	0.03326334222
211	0.03321362605
212	0.03320402875
213	0.03317334782
214	0.03316045102
215	0.03315041725
216	0.0331248498
217	0.03309908775
218	0.03307390581
219	0.03303547432
220	0.03301940878
221	0.03298617418
222	0.03295065722
223	0.03292212482
224	0.03290487353
225	0.03288459601
226	0.0328694111
227	0.03285849416
228	0.03284478223
229	0.0328107914
230	0.03277773008
231	0.03275104963
232	0.03270934221
233	0.03269770879
234	0.0326557789
235	0.03263627591
236	0.03262486703
237	0.03259925255
238	0.03258683425
239	0.03256300921
240	0.03254752557
241	0.03253587539
242	0.03250892559
243	0.03250093792
244	0.03247096634
245	0.03245816877
246	0.03244809958
247	0.03243341604
248	0.03242454025
249	0.03240237402
250	0.03237363048
251	0.03235237744
252	0.03233786467
253	0.03232710714
254	0.03230789734
255	0.03229552588
256	0.03227482915
257	0.03226334281
258	0.0322595278
259	0.0322467218
260	0.03223314771
261	0.03220508995
262	0.03218002664
263	0.03214672177
264	0.03212617312
265	0.03211281281
266	0.032090816
267	0.03207829237
268	0.03206595704
269	0.03204150002
270	0.0320290731
271	0.03201842579
272	0.03200591011
273	0.03199862369
274	0.03198030802
275	0.03197304065
276	0.03193959034
277	0.03192659672
278	0.03190801681
279	0.03189698225
280	0.03187171895
281	0.03186071224
282	0.0318522564
283	0.03184106161
284	0.03181976154
285	0.03180966672
286	0.03179721769
287	0.0317924789
288	0.03178327768
289	0.03177299397
290	0.03173624985
291	0.03172331968
292	0.03169166528
293	0.03167544053
294	0.03164613122
295	0.03163735385
296	0.03162323939
297	0.03159900359
298	0.03158718373
299	0.03157432408
300	0.0315591014
301	0.0315329283
302	0.03152265293
303	0.03149617869
304	0.03147440445
305	0.03145686987
306	0.03144397343
307	0.03142648647
308	0.03141277591
309	0.03140483608
310	0.03137955179
311	0.03137063966
312	0.03135643926
313	0.03134557085
314	0.03133425809
315	0.03131873821
316	0.03130865315
317	0.03129550899
318	0.0312787656
319	0.03126910935
320	0.03126095511
321	0.03124696988
322	0.03122509216
323	0.0312035468
324	0.03118809643
325	0.0311775379
326	0.03116061724
327	0.03114743178
328	0.0311330133
329	0.03111209149
330	0.03110317842
331	0.03109349601
332	0.03108721768
333	0.03107058988
334	0.0310512679
335	0.03102836772
336	0.03101828065
337	0.03100773666
338	0.03098444082
339	0.0309794609
340	0.03096707547
341	0.03094409981
342	0.03092489831
343	0.03090183495
344	0.03089300135
345	0.03088379938
346	0.0308556563
347	0.03084073661
348	0.03082568038
349	0.03081440923
350	0.03079340685
351	0.0307770555
352	0.03077121341
353	0.03075706785
354	0.03074499399
355	0.03073108485
356	0.03071045186
357	0.03069556531
358	0.03067601981
359	0.03065216691
360	0.030637672
361	0.03062696933
362	0.03061765401
363	0.03060575275
364	0.03058077548
365	0.03057099067
366	0.03056122107
367	0.03054995667
368	0.0305435803
369	0.03052842865
370	0.03051147202
371	0.03050160329
372	0.03048757177
373	0.03048195294
374	0.03046597813
375	0.03045696206
376	0.03044639777
377	0.0304268399
378	0.03041684008
379	0.0304002324
380	0.03038480861
381	0.03037673664
382	0.03036184104
383	0.03035100364
384	0.03034051541
385	0.03033286784
386	0.03032766171
387	0.03031205113
388	0.03030516163
389	0.03029264859
390	0.03028334483
391	0.030275918
392	0.03024446835
393	0.03023302917
394	0.03022034927
395	0.03020951488
396	0.03020315798
397	0.03019599377
398	0.03018097648
399	0.03017199332
400	0.03015943777
401	0.03014537226
402	0.0301321346
403	0.03011686394
404	0.03010789479
405	0.03010109835
406	0.03009071966
407	0.03008367934
408	0.03007175648
409	0.03005967138
410	0.03004745396
411	0.03004535031
412	0.0300381709
413	0.03001809564
414	0.03000944292
415	0.03000062556
416	0.02998852087
417	0.02998154986
418	0.0299729552
419	0.02996886363
420	0.0299515093
421	0.02993784026
422	0.02993140395
423	0.02992454866
424	0.0299080701
425	0.02989876897
426	0.02989176298
427	0.02988536128
428	0.02987537955
429	0.02986040231
430	0.02984143431
431	0.02983474795
432	0.02982202863
433	0.02980879606
434	0.02979368147
435	0.0297871916
436	0.02977786629
437	0.0297586699
438	0.02975409661
439	0.02973887563
440	0.02973328341
441	0.02972322643
442	0.02971168607
443	0.02969620391
444	0.02968113385
445	0.02966919066
446	0.0296651254
447	0.02966018131
448	0.02964915776
449	0.02964224272
450	0.0296324159
451	0.02962382685
452	0.02961678919
453	0.02960793174
454	0.02959977788
455	0.02959781965
456	0.02958833789
457	0.02957123341
458	0.02956608593
459	0.02955800308
460	0.02954545007
461	0.02954052601
462	0.02953594861
463	0.02952179302
464	0.02950811687
465	0.02950258581
466	0.02949525938
467	0.0294932284
468	0.02948127646
469	0.02946405442
470	0.0294500059
471	0.02944611253
472	0.02943859246
473	0.02942231293
474	0.02941349912
475	0.02939956033
476	0.0293877001
477	0.02937970062
478	0.0293725481
479	0.02936396793
480	0.02935274373
481	0.02934910091
482	0.02933721612
483	0.02932545863
484	0.02932412205
485	0.02931820572
486	0.02930915045
487	0.02930022578
488	0.0292925781
489	0.0292838181
490	0.02927690067
491	0.02926900658
492	0.02925509367
493	0.02924461329
494	0.02923858593
495	0.02923454342
496	0.02923204742
497	0.02922147749
498	0.02920853009
499	0.0291948209
500	0.02918799267
501	0.02917776357
502	0.02917392431
503	0.02916985696
504	0.02915859611
505	0.02915142527
506	0.02914268296
507	0.02911889199
508	0.02911338193
509	0.02910973374
510	0.02909973792
511	0.0290917628
512	0.02908257555
513	0.02907801448
514	0.02907138236
515	0.02906052604
516	0.02904809897
517	0.02903296477
518	0.02902593434
519	0.02901911023
520	0.02901559495
521	0.02901055997
522	0.02900199462
523	0.02899560766
524	0.02898986934
525	0.02898687413
526	0.02897687979
527	0.0289703879
528	0.02895981801
529	0.02895106471
530	0.02893865132
531	0.02892558452
532	0.02891491189
533	0.02891345379
534	0.02890414416
535	0.02889635043
536	0.02889245038
537	0.02888424457
538	0.02888086002
539	0.02887660406
540	0.02886707654
541	0.02886349111
542	0.02885855092
543	0.02884988361
544	0.02884296578
545	0.02883682826
546	0.0288298172
547	0.02882325194
548	0.02881560342
549	0.02880735264
550	0.02880105929
551	0.0287975809
552	0.02878755403
553	0.02878225963
554	0.02877487376
555	0.02876710499
556	0.02876224771
557	0.02875437629
558	0.02874720619
559	0.02873220299
560	0.02872525538
561	0.0287172312
562	0.02871430839
563	0.02870659883
564	0.0286956169
565	0.02868042436
566	0.02867146929
567	0.02866296239
568	0.02865384155
569	0.02865057172
570	0.02864469881
571	0.02863576827
572	0.02862832785
573	0.02861678667
574	0.02860649675
575	0.02860173909
576	0.02859449074
577	0.02858304683
578	0.02857551238
579	0.0285676103
580	0.02856029348
581	0.02855291474
582	0.02854459321
583	0.02853817764
584	0.02853339433
585	0.02852615284
586	0.02851834501
587	0.02851581242
588	0.02851041976
589	0.02850186433
590	0.0284959016
591	0.02848693659
592	0.02847728613
593	0.0284732725
594	0.02846779304
595	0.02846115064
596	0.02845944637
597	0.02845767111
598	0.02845389504
599	0.02845245535
600	0.0284439934
601	0.02843893949
602	0.02843393496
603	0.02842861146
604	0.02842614165
605	0.02841940904
606	0.02841081294
607	0.02840241278
608	0.02839291129
609	0.02838430537
610	0.0283764577
611	0.02837340326
612	0.02836797841
613	0.02836269024
614	0.02835515546
615	0.02834682417
616	0.02833945483
617	0.02833241907
618	0.02833083637
619	0.02832408012
620	0.02831475055
621	0.02830659575
622	0.02830191242
623	0.02829251773
624	0.02827936614
625	0.02827138682
626	0.02826767454
627	0.02826157201
628	0.02825220974
629	0.02824508151
630	0.02823315826
631	0.02822735149
632	0.02822095292
633	0.0282142282
634	0.02821019864
635	0.02820154043
636	0.02820010286
637	0.02818820951
638	0.02818079359
639	0.02817453203
640	0.02816898779
641	0.02816394804
642	0.02815973139
643	0.02814817021
644	0.02814034286
645	0.02813323362
646	0.02812447498
647	0.02811692769
648	0.02811192451
649	0.02810823926
650	0.02809999897
651	0.02809648766
652	0.02809142407
653	0.02809002301
654	0.02808605638
655	0.02808315632
656	0.02807856329
657	0.02807157601
658	0.02806649848
659	0.02805813016
660	0.02805281936
661	0.02804947336
662	0.02804906414
663	0.02804667295
664	0.02804009827
665	0.02802960329
666	0.02802628256
667	0.02802320345
668	0.02802062874
669	0.028016866
670	0.02800434456
671	0.02799779863
672	0.02799233396
673	0.02798818897
674	0.02798040625
675	0.02796890481
676	0.0279584575
677	0.02795294587
678	0.02795062733
679	0.02794061662
680	0.02793319507
681	0.02793198375
682	0.02792459326
683	0.0279193392
684	0.0279069526
685	0.02790053033
686	0.02789760622
687	0.02788819438
688	0.02788453783
689	0.02788298201
690	0.02787877639
691	0.02787637241
692	0.02787446812
693	0.02787016941
694	0.02786592215
695	0.02786217937
696	0.02785002201
697	0.02784573526
698	0.02784324888
699	0.0278370128
700	0.02783284129
701	0.02782571566
702	0.0278135468
703	0.02781073851
704	0.02780866961
705	0.02780309958
706	0.02779641399
707	0.02779196907
708	0.02777801039
709	0.02776964298
710	0.02776002237
711	0.02774858416
712	0.02773971791
713	0.02773759784
714	0.02773436159
715	0.02773070302
716	0.02772877777
717	0.02772237538
718	0.02771333197
719	0.02770769444
720	0.0277063121
721	0.02770501317
722	0.02770397083
723	0.02769838402
724	0.02768954879
725	0.02768763634
726	0.02768223159
727	0.0276783186
728	0.02767222503
729	0.02766181601
730	0.02765412857
731	0.02765033057
732	0.02764713636
733	0.02764188427
734	0.02763169018
735	0.02762957796
736	0.02762197555
737	0.02761794501
738	0.0276096728
739	0.02760774475
740	0.02760093729
741	0.0275938289
742	0.02758981248
743	0.02758894094
744	0.02758351777
745	0.0275796367
746	0.02757556189
747	0.02756806237
748	0.0275585197
749	0.02755473616
750	0.02755295359
751	0.02754539128
752	0.02753882344
753	0.0275357445
754	0.02753407504
755	0.02752705545
756	0.0275215319
757	0.02751749071
758	0.02751173491
759	0.02750429103
760	0.02750113923
761	0.02749778793
762	0.02748846545
763	0.02748801676
764	0.02748499382
765	0.02747949052
766	0.02747494665
767	0.02747275469
768	0.02746828353
769	0.02746251753
770	0.02746022598
771	0.02745339271
772	0.02745067059
773	0.02744415609
774	0.02743751206
775	0.02743606527
776	0.02742943359
777	0.02742611165
778	0.02742332578
779	0.0274165208
780	0.02741237925
781	0.02740467266
782	0.02739791145
783	0.02739662061
784	0.02739451389
785	0.0273910993
786	0.02738533142
787	0.02738244048
788	0.02737203618
789	0.02736594676
790	0.0273629269
791	0.02735462339
792	0.02734948286
793	0.02734602616
794	0.02734206334
795	0.02733573846
796	0.02733318916
797	0.02732748753
798	0.02732285423
799	0.02732082762
800	0.02731208894
801	0.02730543979
802	0.02730017797
803	0.02729427961
804	0.02728868955
805	0.0272853882
806	0.02728185128
807	0.02727775475
808	0.02727430751
809	0.02727219664
810	0.02726481908
811	0.02725683532
812	0.02725208503
813	0.02724252646
814	0.02723779806
815	0.02722948329
816	0.02722462042
817	0.02721561137
818	0.02720918091
819	0.02720445339
820	0.02719927912
821	0.02719432333
822	0.02718903508
823	0.02718731552
824	0.02718417924
825	0.02718062308
826	0.02717920159
827	0.02717254342
828	0.02716634093
829	0.02716483865
830	0.02716209826
831	0.02715856584
832	0.02715747527
833	0.02715558559
834	0.02715120943
835	0.02714098343
836	0.02713689316
837	0.02713383891
838	0.0271302512
839	0.02712468129
840	0.02712012851
841	0.0271163846
842	0.02711311917
843	0.02710561473
844	0.02709966423
845	0.02709638671
846	0.02709103175
847	0.02708356162
848	0.02707184815
849	0.02706710923
850	0.02706310571
851	0.02705876171
852	0.02705244984
853	0.0270463029
854	0.02703989297
855	0.02703319847
856	0.02703137478
857	0.02702544456
858	0.0270194709
859	0.02701720589
860	0.02701345075
861	0.02700986572
862	0.02700840803
863	0.02700385665
864	0.02700006064
865	0.02699499012
866	0.02699089708
867	0.0269863391
868	0.02698550238
869	0.02698157891
870	0.026979334
871	0.02697550057
872	0.0269699302
873	0.02696618975
874	0.02696223154
875	0.02695947557
876	0.02695568333
877	0.02694984287
878	0.02694639413
879	0.02694207541
880	0.02693201056
881	0.02692926389
882	0.02692650126
883	0.02692367249
884	0.02692084974
885	0.02691720696
886	0.02691291718
887	0.02691151123
888	0.02690735584
889	0.02690039786
890	0.02689673935
891	0.02689008661
892	0.02688262686
893	0.02688079455
894	0.02687692518
895	0.02687093414
896	0.02686540146
897	0.02685892344
898	0.02684833688
899	0.02684208196
900	0.0268408123
901	0.02683148127
902	0.02682823392
903	0.02681902298
904	0.02681428144
905	0.02681260035
906	0.02680890898
907	0.02680742402
908	0.02680345323
909	0.02680185401
910	0.02679750499
911	0.02679373412
912	0.02678998688
